Here is a professional video split-screen script for a short,卡通科幻 film titled **"NOVA & THE COSMIC SPARKS."** The tone is "鬼马" (wacky/gremlin energy) mixed with heart.

**Title:** Nova & The Cosmic Sparks
**Genre:** Cartoon Sci-Fi / Adventure / Comedy
**Tone:** Whimsical, fast-paced, vibrant, "childhood imagination meets high-tech fantasy."
**Main Character:** Nova – A genius kid with messy hair, goggles, and boundless energy.

---

### Scene 1: The Chaotic Lab (The Invention)
**Goal:** Introduce Nova's wacky genius and the "Spark Drive."

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **INT. TREEHOUSE LAB - DAY**<br>Chaotic but colorful. Gears spinning, bubble tubes bubbling. NOVA (12) tightens a bolt on a clunky backpack with a mini reactor. Suddenly, SPARKS fly. | **WIDE SHOT** following a floating robot cat zooming past. Crash zoom into Nova's face. | Upbeat synth-wave music. Sound of electrical zaps and mechanical whirs. | Cartoon interior, kid's treehouse laboratory, messy, colorful beakers, floating blueprints, 3D render, Pixar style, dynamic lighting. |
| Nova flips a switch. The backpack hums loudly, lifting him slightly off the ground. He grins. "Whoa! It actually... whoa!" He floats into a shelf, causing a pile of junk to fall on him. | **MEDIUM SHOT** from a low angle. Slow motion as he floats up. Quick cut to the crash. | Dramatic riser music, then a comedic "BONK" sound. | A young boy with goggles floating in mid-air inside a messy lab, surprised expression, levitating, cartoon style, vibrant colors, dynamic motion blur. |

### Scene 2: The Encounter (Meeting Friends)
**Goal:** Nova meets Zara and Pixel, two kids with similar tech obsessions.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **EXT. JUNKYARD - DAY**<br>Nova tests his jetpack but crashes into a giant pile of scrap metal. He's fine, but surrounded by junk. | **OVER-THE-SHOULDER** of Nova as he looks up, dazed. | Screeching metal, crash, then silence. A soft "ding" from a robot. | Kid crash-landing in a colorful scrapyard, cartoon style, bright sunny day, steam rising from wreckage, 3D animation style. |
| ZARA (pragmatic, tool belt) and PIXEL (holographic coder) emerge from the junk. Zara holds a salvaged circuit board. Pixel's tablet projects a 3D scan of Nova's broken jetpack. "Your hydrogen matrix is misaligned," Pixel says. | **TRIPLE SPLIT-SCREEN** showing each kid's unique skill set. Then cut to a **TWO-SHOT** as they help him up. | Playful, friendly music kicks in. Sound of hologram beeps. | Three diverse kids standing in a scrapyard, one holding a wrench, one with a holographic tablet, all wearing goggles or high-tech gear, friendship, cartoon illustration, dynamic pose. |

### Scene 3: The First Leap (To Outer Space)
**Goal:** Testing the upgraded ship. The adventure begins.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **EXT. SPACE - NIGHT**<br>The "Spark Ship" (built from scrap) lifts off from Earth. It's a mess of mismatched parts but shines brightly. | **WIDE ESTABLISHING SHOT** from ground to sky. Ship leaves a rainbow-colored exhaust trail. | Epic orchestral swell mixed with 8-bit video game sounds. | A homemade rocketship launching from Earth at night, scrap metal design, colorful glowing engine trail, starry sky, cartoon cinematic shot, wide angle. |
| **INT. SPARK SHIP**<br>The kids are strapped in, shaking violently. Nova yells, "I forgot to install the shock absorbers!" They crash through an asteroid field made of floating candy-like rocks. | **POV SHOT** from inside the cockpit looking out at the asteroids. **CUT TO:** Close-up of their faces shaking and laughing. | Chaotic crashing sounds mixed with laughter. Upbeat rock music. | Inside a cramped cartoon spaceship cockpit, three kids laughing hysterically, window showing colorful asteroid field, 3D render, fisheye lens effect. |

### Scene 4: The Crystal Planet (Exploration)
**Goal:** Discovering a beautiful alien world.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **EXT. CRYSTAL PLANET**<br>Landing on a planet with floating islands and giant singing crystals. Small, fluffy alien creatures hop around. | **ESTABLISHING SHOT** - A sweeping drone-like shot following the ship as it lands. | Magical, tinkling music. Soft alien bird chirps. | Fantasy alien planet, floating crystal islands, bioluminescent plants, soft fog, two suns in the sky, vibrant colors, cartoon animation style, wide landscape. |
| Nova picks up a glowing crystal. A cute alien (Glompy) touches his hand. Nova smiles. "We're not in Kansas anymore, Glompy." | **MEDIUM SHOT** on Nova and the alien. Warm lighting. | A single, cute "mew" sound from the alien. Soft string music. | A young boy and a small furry alien touching hands, glowing crystal between them, moment of connection, fantasy art, soft lighting, cartoon style. |

### Scene 5: The Invasion (Conflict)
**Goal:** The villains arrive. They are sleek, evil robots seeking to drain the planet's energy.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| The sky darkens. Massive, geometric VOID SHIPS descend, blocking out the sun. They shoot dark beams, draining color from the crystals. | **LOW ANGLE SHOT** looking up at the massive ships. The camera shakes. | Music cuts to heavy, synthetic bass drops. Deep mechanical humming. Loud BOOM. | Massive alien invasion fleet, geometric black ships, dark beams hitting a colorful planet, ominous atmosphere, high contrast, cartoon epic scale. |
| **ON GROUND**<br>Zara pulls Nova back. "We have to go!" But Nova looks at the scared creatures. "No. This is our planet to protect now." | **CLOSE UP** on Nova's determined eyes. | Dramatic pause. Sound of energy crackling. | Close up of a determined cartoon boy's face, reflection of explosions in his goggles, brave expression, dramatic lighting, 3D render. |

### Scene 6: The Cosmic Clash (Battle)
**Goal:** Using wits and gadgets to fight the Void bots.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| Nova uses his jetpack to zip around a giant VOID BOT. Pixel hacks its leg, making it dance uncontrollably. Zara uses a gravity glove to throw junk at it. | **FAST-CUT ACTION SEQUENCE.** Dutch angles to show chaos. | High-energy EDM battle music. Pew-pew laser sounds mixed with comedic "boing" sounds. | Action scene, kids fighting giant robots in a crystal cave, laser beams, gadgets, explosions, fast movement, cartoon dynamic action scene. |
| The Void Leader (a giant floating eye) corner them. Nova throws his "Spark Drive" at it. It doesn't explode—it *absorbs* the dark energy, overloading the robot. | **SLOW MOTION** as the device flies through the air. **CUT TO:** The robot glitching and freezing. | Music climax. High-pitched charging sound, then silence... then a massive POP. | A small glowing device hitting a giant evil robot eye, energy overload, sparkles vs darkness, cinematic moment, cartoon style. |

### Scene 7: Heroes' Return (Resolution)
**Goal:** The celebration.

